connector_id,node_id,type,x,y,z,roi,confidence
169,4303,pre,16574,34771,26284,AL(R),0.978
170,3749,pre,15059,35214,24976,AL(R),0.988
171,798,pre,15185,34426,25220,AL(R),0.981
172,799,pre,15114,34459,25195,AL(R),0.979
173,801,pre,14972,34446,25194,AL(R),0.981
174,2256,pre,16647,35339,26035,AL(R),0.998
175,4299,pre,16585,35457,26007,AL(R),0.984
176,1049,pre,15377,34631,24879,AL(R),0.866
177,4186,pre,15538,34403,25375,AL(R),0.978
178,2999,pre,16604,35386,26106,AL(R),0.995
179,1777,pre,15026,34616,25198,AL(R),0.954
180,1051,pre,15324,34711,24950,AL(R),0.944
181,865,pre,16422,35909,25731,AL(R),0.854
182,1435,pre,16814,35428,25242,AL(R),0.951
183,1434,pre,16921,35434,25229,AL(R),0.967
184,1444,pre,16575,35490,24760,AL(R),0.98
185,619,pre,16047,35409,24652,AL(R),0.993
186,1435,pre,16831,35437,25251,AL(R),0.883
187,2862,post,15349,34863,25430,AL(R),0.747694
188,2214,post,16832,34890,25051,AL(R),0.97684
189,4232,post,17424,35197,25821,AL(R),0.95
190,3980,post,15491,34194,25729,AL(R),0.893229
191,1595,pre,5573,22364,16876,LH(R),0.978
192,70,pre,9856,17968,12529,SCL(R),0.985
193,70,pre,9888,18000,12487,SCL(R),0.987
194,70,pre,9796,18003,12471,SCL(R),0.989
195,70,pre,9962,17998,12445,SCL(R),0.989
196,70,pre,9933,18040,12423,SCL(R),0.971
197,70,pre,9853,18003,12401,SCL(R),0.986
198,70,pre,10022,17961,12394,SCL(R),0.96
199,70,pre,9966,17995,12402,SCL(R),0.977
200,70,pre,9930,17946,12371,SCL(R),0.981
201,70,pre,9931,17900,12519,SCL(R),0.634
202,70,pre,9868,17847,12483,SCL(R),0.926
203,70,pre,9878,17856,12491,SCL(R),0.997
204,69,pre,9768,17883,12508,SCL(R),0.977
205,70,pre,9956,17842,12471,SCL(R),0.991
206,70,pre,9873,17844,12429,SCL(R),0.956
207,70,pre,9977,17794,12403,SCL(R),0.956
208,71,pre,10008,17802,12428,SCL(R),0.983
209,70,pre,9826,17891,12402,SCL(R),0.987
210,71,pre,10037,17815,12364,,0.931
211,117,pre,15850,15755,12371,,0.99
212,706,pre,16223,14807,10958,CA(R),0.781
213,706,pre,16256,14820,10986,CA(R),0.877
214,704,pre,16216,14913,10730,CA(R),0.945
215,705,pre,16285,14872,10749,CA(R),0.992
216,4013,pre,16401,14950,10860,CA(R),0.952
217,3030,pre,5358,21799,15500,LH(R),0.98
218,2402,pre,5283,22242,15728,LH(R),0.878
219,4,pre,3706,22021,15248,LH(R),0.973
220,4,pre,3659,21997,15230,LH(R),0.88
221,1452,pre,5103,22877,15464,LH(R),0.98
222,15,pre,5068,22742,15607,LH(R),0.996
223,4035,pre,4773,23375,15477,LH(R),0.99
224,2405,pre,5575,22169,15935,LH(R),0.996
225,1203,pre,5017,22568,14770,LH(R),0.997
226,10,pre,4512,22488,15485,LH(R),0.992
227,1204,pre,5019,22622,14712,LH(R),0.951
228,1204,pre,5068,22688,14773,LH(R),0.979
229,1595,pre,5579,22394,16786,LH(R),0.974
230,4242,pre,5188,21533,15720,LH(R),0.925
231,1456,pre,5013,23348,15386,LH(R),0.907
232,29,pre,5062,21151,15432,LH(R),0.991
233,3,post,3653,21974,15245,LH(R),0.999121
